SeqNum,UtcDate,UtcTime,AcqTime,PDOP,Long,Lat,Alt.m.,TotCount.cps.,Potassium...,Uranium.ppm.,Thorium.ppm.,UpDet.cps.,X.meters.,X.meters..1,xy
72200,19/3/2024,0:59:30,999994,2.10072,149.8848923,-30.2668716,300.1715,1647.65919,4.34281,1.35851,23.98859,8.00806,300.194,100,TRUE
72201,19/3/2024,0:59:31,999993,2.10074,149.8848912,-30.2668707,300.3574,1681.02206,3.98513,-0.65681,20.62021,5.00304,300.38,100,TRUE
72202,19/3/2024,0:59:32,999995,2.10077,149.8848919,-30.2668707,300.0749,1647.33935,3.65544,0.82962,27.59594,8.00165,300.098,100,TRUE
72203,19/3/2024,0:59:33,999993,2.1008,149.8848914,-30.2668708,299.824,1733.36054,5.41411,-0.45055,13.44447,4.00083,299.847,100,TRUE
72204,19/3/2024,0:59:34,999995,2.10082,149.8848913,-30.26687,299.7906,1654.00233,4.18152,0.45362,18.71439,6.00364,299.813,100,TRUE
72205,19/3/2024,0:59:35,999993,2.10085,149.8848911,-30.2668705,299.6233,1678.35611,4.17438,3.84273,18.35561,10.00809,299.646,100,TRUE
72206,19/3/2024,0:59:36,999994,2.10088,149.8848922,-30.2668676,299.6784,1594.28659,3.15419,5.21685,14.63405,11.00888,299.701,100,TRUE
72207,19/3/2024,0:59:37,999994,2.1009,149.8848949,-30.2668583,299.476,1736.40128,4.27252,-2.93472,19.08174,2.00162,299.499,100,TRUE
72208,19/3/2024,0:59:38,999994,2.10093,149.8848985,-30.2668492,299.6339,1684.19072,3.77887,7.17382,12.6356,13.0092,299.657,100,TRUE
72209,19/3/2024,0:59:39,999994,2.10095,149.8849025,-30.2668391,299.7907,1725.08217,2.81687,2.47017,22.08698,9.01088,299.814,100,TRUE
72210,19/3/2024,0:59:40,999994,2.10098,149.8849061,-30.266829,299.849,1722.73479,4.43189,6.59259,10.91519,12.0121,299.872,100,TRUE
72211,19/3/2024,0:59:41,999994,2.101,149.8849116,-30.2668206,299.7774,1704.37543,3.84163,1.7713699999999999,9.64173,6.00485,299.8,100,TRUE
72212,19/3/2024,0:59:42,999994,2.14155,149.884917,-30.2668098,299.3558,1709.35384,3.27446,2.93614,13.0816,8.00166,299.379,100,TRUE
72213,19/3/2024,0:59:43,999993,2.10105,149.8849225,-30.2667989,299.2136,1748.88844,4.30469,1.24361,13.26778,6.00305,299.236,100,TRUE
72214,19/3/2024,0:59:44,999994,2.10107,149.884928,-30.266787,299.0635,1712.86671,3.78952,-0.18685,11.63439,4.00203,299.086,100,TRUE
72215,19/3/2024,0:59:45,999994,2.1011,149.8849349,-30.2667744,299.3964,1718.38674,3.9502100000000002,0.71748,16.90328,6.00485,299.419,100,TRUE
72216,19/3/2024,0:59:46,999994,2.10112,149.8849412,-30.2667592,299.679,1616.65798,3.76599,-0.13024,16.98624,5.00204,299.702,100,TRUE
72217,19/3/2024,0:59:47,999994,2.10114,149.8849474,-30.2667416,299.9046,1658.67028,3.21604,-1.76736,22.53599,4.00403,299.927,100,TRUE
72218,19/3/2024,0:59:48,999994,2.10117,149.8849555,-30.2667215,299.8111,1597.49043,2.62351,2.03309,7.82117,6.00184,299.834,100,TRUE
72219,19/3/2024,0:59:49,999994,2.10119,149.8849636,-30.2667018,300.0125,1712.72471,3.04391,-1.35386,8.19157,2.00202,300.035,100,TRUE
72220,19/3/2024,0:59:50,999994,2.10121,149.8849718,-30.2666828,300.1828,1623.98576,3.7634,2.35431,11.36357,7.00425,300.206,100,TRUE
72221,19/3/2024,0:59:51,999993,2.10123,149.8849808,-30.2666641,299.9138,1626.66368,3.34675,0.18987,20.52485,6.00245,299.937,100,TRUE
72222,19/3/2024,0:59:52,999994,2.10125,149.8849897,-30.2666439,299.6037,1681.35685,3.17029,-0.07294,22.34944,6.00485,299.627,100,TRUE
72223,19/3/2024,0:59:53,999994,2.13269,149.8849987,-30.2666226,298.7345,1733.39885,4.30146,0.66071,11.54789,5.00404,298.757,100,TRUE
72224,19/3/2024,0:59:54,999994,2.10129,149.8850079,-30.2666033,298.0384,1667.1787,3.93711,2.03449,7.82531,6.00425,298.061,100,TRUE
